date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2025-10-14,Japan,Brazil,3.0,2.0,Kirin Cup,Tokyo,Japan,False
2025-10-14,Canada,Colombia,0.0,0.0,Friendly,Harrison,United States,True
2025-10-14,South Korea,Paraguay,2.0,0.0,Friendly,Seoul,South Korea,False
2025-10-14,Mexico,Ecuador,1.0,1.0,Friendly,Zapopan,Mexico,False
2025-10-14,Norway,New Zealand,1.0,1.0,Friendly,Oslo,Norway,False
2025-10-14,United States,Australia,2.0,1.0,Friendly,Denver,United States,False
2025-10-14,Saudi Arabia,Iraq,0.0,0.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False
2025-11-13,Canada,Ecuador,0.0,0.0,Friendly,Toronto,Canada,False
2025-11-13,Iran,Cape Verde,0.0,0.0,Al Ain International Cup,Al Ain,United Arab Emirates,True
2025-11-14,Japan,Ghana,2.0,0.0,Kirin Cup,Toyota,Japan,False
2025-11-14,Saudi Arabia,Ivory Coast,1.0,0.0,Friendly,Jeddah,Saudi Arabia,False
2025-11-14,Tunisia,Jordan,3.0,2.0,Friendly,Radès,Tunisia,False
2025-11-14,Uzbekistan,Egypt,2.0,0.0,Al Ain International Cup,Al Ain,United Arab Emirates,True
2025-11-15,Brazil,Senegal,2.0,0.0,Friendly,London,England,True
2025-11-15,Colombia,New Zealand,2.0,1.0,Friendly,Fort Lauderdale,United States,True
2025-11-15,Mexico,Uruguay,0.0,0.0,Friendly,Torreón,Mexico,False
2025-11-15,United States,Paraguay,2.0,1.0,Friendly,Chester,United States,False
2025-11-15,Switzerland,Sweden,4.0,1.0,FIFA World Cup qualification,Geneva,Switzerland,False
2025-11-17,Cape Verde,Egypt,1.0,1.0,Al Ain International Cup,Al Ain,United Arab Emirates,True
2025-11-18,Saudi Arabia,Algeria,0.0,2.0,Friendly,Jeddah,Saudi Arabia,False
2025-11-18,Brazil,Tunisia,1.0,1.0,Friendly,Lille,France,True
2025-11-18,Colombia,Australia,3.0,0.0,Friendly,New York,United States,True
2025-11-18,Ecuador,New Zealand,2.0,0.0,Friendly,Harrison,United States,True
2025-11-18,South Korea,Ghana,1.0,0.0,Friendly,Seoul,South Korea,False
2025-11-18,Mexico,Paraguay,1.0,2.0,Friendly,San Antonio,United States,True
2025-11-18,United States,Uruguay,5.0,1.0,Friendly,Tampa,United States,False
2025-11-18,Spain,Turkey,2.0,2.0,FIFA World Cup qualification,Seville,Spain,False
2025-11-18,Austria,Bosnia and Herzegovina,1.0,1.0,FIFA World Cup qualification,Vienna,Austria,False
2025-11-18,Iran,Uzbekistan,0.0,0.0,Al Ain International Cup,Al Ain,United Arab Emirates,True
2025-12-07,Qatar,Tunisia,0.0,3.0,Arab Cup,Al Khor,Qatar,False
2025-12-08,Morocco,Saudi Arabia,1.0,0.0,Arab Cup,Lusail,Qatar,True
2025-12-09,Egypt,Jordan,0.0,3.0,Arab Cup,Al Khor,Qatar,True
2025-12-09,Algeria,Iraq,2.0,0.0,Arab Cup,Al Rayyan,Qatar,True
2025-12-12,Jordan,Iraq,1.0,0.0,Arab Cup,Al Rayyan,Qatar,True
2025-12-15,Saudi Arabia,Jordan,0.0,1.0,Arab Cup,Al Khor,Qatar,True
2025-12-18,Jordan,Morocco,2.0,3.0,Arab Cup,Lusail,Qatar,True
2025-12-26,Egypt,South Africa,1.0,0.0,African Cup of Nations,Agadir,Morocco,True
2025-12-27,Senegal,DR Congo,1.0,1.0,African Cup of Nations,Tangier,Morocco,True
2026-01-06,Algeria,DR Congo,1.0,0.0,African Cup of Nations,Rabat,Morocco,True
2026-01-10,Egypt,Ivory Coast,3.0,2.0,African Cup of Nations,Agadir,Morocco,True
2026-01-14,Senegal,Egypt,1.0,0.0,African Cup of Nations,Tangier,Morocco,True
2026-01-18,Morocco,Senegal,3.0,0.0,African Cup of Nations,Rabat,Morocco,False
2026-01-22,Panama,Mexico,0.0,1.0,Friendly,Panama City,Panama,False
2026-03-26,Brazil,France,1.0,2.0,Friendly,Foxborough,United States,True
2026-03-26,Colombia,Croatia,1.0,2.0,Friendly,Orlando,United States,True
2026-03-27,Austria,Ghana,5.0,1.0,Friendly,Vienna,Austria,False
2026-03-27,England,Uruguay,1.0,1.0,Friendly,London,England,False
2026-03-27,Morocco,Ecuador,1.0,1.0,Friendly,Madrid,Spain,True
2026-03-27,Netherlands,Norway,2.0,1.0,Friendly,Amsterdam,Netherlands,False
2026-03-27,Saudi Arabia,Egypt,0.0,4.0,Friendly,Jeddah,Saudi Arabia,False
2026-03-27,South Africa,Panama,1.0,1.0,Friendly,Durban,South Africa,False
2026-03-27,Switzerland,Germany,3.0,4.0,Friendly,Basel,Switzerland,False
2026-03-28,Haiti,Tunisia,0.0,1.0,Friendly,Toronto,Canada,True
2026-03-28,Ivory Coast,South Korea,4.0,0.0,Friendly,Milton Keynes,England,True
2026-03-28,Mexico,Portugal,0.0,0.0,Friendly,Mexico City,Mexico,False
2026-03-28,Scotland,Japan,0.0,1.0,Friendly,Glasgow,Scotland,False
2026-03-28,United States,Belgium,2.0,5.0,Friendly,Atlanta,United States,False
2026-03-29,Colombia,France,1.0,3.0,Friendly,Landover,United States,True
2026-03-30,Germany,Ghana,2.0,1.0,Friendly,Stuttgart,Germany,False
2026-03-31,Algeria,Uruguay,0.0,0.0,Friendly,Turin,Italy,True
2026-03-31,Austria,South Korea,1.0,0.0,Friendly,Vienna,Austria,False
2026-03-31,Brazil,Croatia,3.0,1.0,Friendly,Orlando,United States,True
2026-03-31,Canada,Tunisia,0.0,0.0,Friendly,Toronto,Canada,False
2026-03-31,England,Japan,0.0,1.0,Friendly,London,England,False
2026-03-31,Ivory Coast,Scotland,1.0,0.0,Friendly,Liverpool,England,True
2026-03-31,Mexico,Belgium,1.0,1.0,Friendly,Chicago,United States,True
2026-03-31,Morocco,Paraguay,2.0,1.0,Friendly,Lens,France,True
2026-03-31,Netherlands,Ecuador,1.0,1.0,Friendly,Eindhoven,Netherlands,False
2026-03-31,Norway,Switzerland,0.0,0.0,Friendly,Oslo,Norway,False
2026-03-31,South Africa,Panama,1.0,2.0,Friendly,Cape Town,South Africa,False
2026-03-31,Spain,Egypt,0.0,0.0,Friendly,Barcelona,Spain,False
2026-03-31,United States,Portugal,0.0,2.0,Friendly,Atlanta,United States,False
2026-03-31,Australia,Curaçao,5.0,1.0,FIFA Series,Melbourne,Australia,False
